"Date","Time","Open","High","Low","Close","TotalVolume"
2009/3/27,00:00:00,3622,3662,3149,3562,360228
2009/3/30,00:00:00,3535,3581,3530,3546,145888
2009/3/31,00:00:00,3535,3567,3535,3550,71002
2009/4/1,00:00:00,3557,3559,3545,3549,28388
2009/4/2,00:00:00,3548,3550,3458,3475,236480
2009/4/3,00:00:00,3474,3478,3438,3450,153874
2009/4/7,00:00:00,3435,3519,3430,3493,242558
2009/4/8,00:00:00,3489,3492,3458,3465,147714
2009/4/9,00:00:00,3485,3487,3462,3470,88100
2009/4/10,00:00:00,3479,3501,3472,3486,121774
2009/4/13,00:00:00,3484,3495,3466,3471,110892
2009/4/14,00:00:00,3477,3601,3471,3561,541858
2009/4/15,00:00:00,3564,3591,3552,3564,256590
2009/4/16,00:00:00,3582,3629,3572,3598,251234
2009/4/17,00:00:00,3607,3650,3583,3622,340950
2009/4/20,00:00:00,3622,3650,3617,3625,260904
2009/4/21,00:00:00,3585,3593,3489,3526,333156
2009/4/22,00:00:00,3541,3568,3510,3528,169038
2009/4/23,00:00:00,3524,3533,3490,3515,131106
2009/4/24,00:00:00,3510,3524,3499,3503,102004
2009/4/27,00:00:00,3516,3522,3494,3501,102958
2009/4/28,00:00:00,3507,3517,3504,3509,97352
2009/4/29,00:00:00,3510,3522,3505,3522,102924
2009/4/30,00:00:00,3539,3576,3525,3554,249142
2009/5/4,00:00:00,3587,3661,3585,3637,575670
2009/5/5,00:00:00,3636,3636,3572,3579,176798
2009/5/6,00:00:00,3575,3600,3575,3596,104310
2009/5/7,00:00:00,3629,3630,3593,3595,151292
2009/5/8,00:00:00,3597,3617,3591,3615,104146
2009/5/11,00:00:00,3619,3679,3607,3640,337180
2009/5/12,00:00:00,3648,3661,3631,3646,194050
2009/5/13,00:00:00,3656,3657,3635,3640,119000
2009/5/14,00:00:00,3616,3620,3591,3596,140800
2009/5/15,00:00:00,3603,3619,3598,3605,132894
2009/5/18,00:00:00,3589,3613,3583,3609,105328
2009/5/19,00:00:00,3620,3628,3613,3620,95996
2009/5/20,00:00:00,3615,3645,3614,3619,119384
2009/5/21,00:00:00,3623,3643,3621,3625,118058
2009/5/22,00:00:00,3624,3628,3611,3620,60846
2009/5/25,00:00:00,3622,3624,3602,3611,96118
2009/5/26,00:00:00,3611,3621,3598,3603,114466
2009/5/27,00:00:00,3617,3618,3608,3612,46624
2009/6/1,00:00:00,3638,3658,3631,3649,194440
2009/6/2,00:00:00,3654,3683,3654,3657,200650
2009/6/3,00:00:00,3658,3674,3658,3672,105942
2009/6/4,00:00:00,3659,3713,3654,3702,371940
2009/6/5,00:00:00,3723,3779,3722,3757,269288
2009/6/8,00:00:00,3750,3794,3749,3790,295768
2009/6/9,00:00:00,3797,3808,3770,3781,216332
2009/6/10,00:00:00,3796,3815,3776,3810,240044
2009/6/11,00:00:00,3813,3941,3810,3880,638952
2009/6/12,00:00:00,3898,3929,3838,3866,593530
2009/6/15,00:00:00,3857,3879,3825,3851,370066
2009/6/16,00:00:00,3838,3884,3835,3867,363330
2009/6/17,00:00:00,3870,3880,3844,3855,219252
2009/6/18,00:00:00,3858,3868,3833,3845,194002
2009/6/19,00:00:00,3853,3921,3849,3909,567686
2009/6/22,00:00:00,3915,3937,3903,3921,506902
2009/6/23,00:00:00,3897,3902,3838,3884,503470
2009/6/24,00:00:00,3883,3899,3861,3873,287118
2009/6/25,00:00:00,3868,3890,3862,3869,287590
2009/6/26,00:00:00,3868,3889,3849,3857,380966
2009/6/29,00:00:00,3845,3856,3827,3832,293528
2009/6/30,00:00:00,3837,3843,3817,3827,218656
2009/7/1,00:00:00,3823,3846,3823,3842,231074
2009/7/2,00:00:00,3855,3880,3848,3868,317248
2009/7/3,00:00:00,3872,3883,3859,3861,293702
2009/7/6,00:00:00,3861,3874,3857,3866,172134
2009/7/7,00:00:00,3876,3878,3865,3872,140088
