date 20110215, 20high 5187.0,20low 4863.0,10high 5187.0 10low 4938.0,Today high 5159.0, low 5125.0, position 0 , N nan
date 20110216, 20high 5187.0,20low 4872.0,10high 5187.0 10low 4938.0,Today high 5114.0, low 5053.0, position 0 , N 42.0
date 20110217, 20high 5187.0,20low 4884.0,10high 5187.0 10low 4938.0,Today high 5091.0, low 4988.0, position 0 , N 43.6
date 20110218, 20high 5187.0,20low 4903.0,10high 5187.0 10low 4968.0,Today high 5023.0, low 4968.0, position 0 , N 46.57
date 20110221, 20high 5187.0,20low 4927.0,10high 5187.0 10low 4968.0,Today high 5022.0, low 4956.0, position 0 , N 46.9915
date 20110222, 20high 5187.0,20low 4927.0,10high 5187.0 10low 4956.0,Today high 5045.0, low 4944.0, position 0 , N 47.941925
date 20110223, 20high 5187.0,20low 4931.0,10high 5187.0 10low 4944.0,Today high 4963.0, low 4926.0, position 0 , N 50.59482875
date 20110223, short price 4931.0
date 20110224, 20high 5187.0,20low 4926.0,10high 5187.0 10low 4926.0,Today high 4953.0, low 4880.0, position -1 , N 51.2650873125
date 20110225, 20high 5187.0,20low 4880.0,10high 5187.0 10low 4880.0,Today high 4912.0, low 4862.0, position -1 , N 52.3518329469
date 20110228, 20high 5187.0,20low 4862.0,10high 5159.0 10low 4862.0,Today high 4910.0, low 4870.0, position -1 , N 52.2342412995
date 20110301, 20high 5187.0,20low 4862.0,10high 5159.0 10low 4862.0,Today high 4922.0, low 4819.0, position -1 , N 51.6725292346
date 20110302, 20high 5187.0,20low 4819.0,10high 5114.0 10low 4819.0,Today high 4857.0, low 4799.0, position -1 , N 54.2389027728
date 20110303, 20high 5187.0,20low 4799.0,10high 5091.0 10low 4799.0,Today high 4878.0, low 4801.0, position -1 , N 54.4269576342
date 20110304, 20high 5187.0,20low 4799.0,10high 5045.0 10low 4799.0,Today high 4831.0, low 4776.0, position -1 , N 55.5556097525
date 20110307, 20high 5187.0,20low 4776.0,10high 5045.0 10low 4776.0,Today high 4844.0, low 4805.0, position -1 , N 55.5278292649
date 20110308, 20high 5187.0,20low 4776.0,10high 5045.0 10low 4776.0,Today high 4842.0, low 4759.0, position -1 , N 54.7014378016
date 20110309, 20high 5187.0,20low 4759.0,10high 4963.0 10low 4759.0,Today high 4796.0, low 4761.0, position -1 , N 56.1163659115
date 20110310, 20high 5187.0,20low 4759.0,10high 4953.0 10low 4759.0,Today high 4748.0, low 4680.0, position -1 , N 55.060547616
date 20110311, 20high 5187.0,20low 4680.0,10high 4922.0 10low 4680.0,Today high 4693.0, low 4652.0, position -1 , N 57.0075202352
date 20110314, 20high 5159.0,20low 4652.0,10high 4922.0 10low 4652.0,Today high 4739.0, low 4642.0, position -1 , N 56.2071442234
date 20110315, 20high 5159.0,20low 4642.0,10high 4922.0 10low 4642.0,Today high 4780.0, low 4712.0, position -1 , N 58.2467870122
date 20110316, 20high 5114.0,20low 4642.0,10high 4878.0 10low 4642.0,Today high 4834.0, low 4755.0, position -1 , N 58.7344476616
date 20110317, 20high 5091.0,20low 4642.0,10high 4878.0 10low 4642.0,Today high 4848.0, low 4795.0, position -1 , N 59.7477252785
date 20110318, 20high 5045.0,20low 4642.0,10high 4848.0 10low 4642.0,Today high 4847.0, low 4742.0, position -1 , N 59.4103390146
date 20110321, 20high 5045.0,20low 4642.0,10high 4848.0 10low 4642.0,Today high 4751.0, low 4653.0, position -1 , N 61.6898220639
date 20110322, 20high 5045.0,20low 4642.0,10high 4848.0 10low 4642.0,Today high 4686.0, low 4629.0, position -1 , N 63.7553309607
date 20110323, 20high 4963.0,20low 4629.0,10high 4848.0 10low 4629.0,Today high 4737.0, low 4651.0, position -1 , N 63.4175644127
date 20110324, 20high 4953.0,20low 4629.0,10high 4848.0 10low 4629.0,Today high 4760.0, low 4685.0, position -1 , N 64.596686192
date 20110325, 20high 4922.0,20low 4629.0,10high 4848.0 10low 4629.0,Today high 4743.0, low 4706.0, position -1 , N 65.1168518824
date 20110328, 20high 4922.0,20low 4629.0,10high 4848.0 10low 4629.0,Today high 4795.0, low 4744.0, position -1 , N 63.7110092883
date 20110329, 20high 4922.0,20low 4629.0,10high 4848.0 10low 4629.0,Today high 4823.0, low 4765.0, position -1 , N 63.7754588239
date 20110330, 20high 4878.0,20low 4629.0,10high 4848.0 10low 4629.0,Today high 4832.0, low 4775.0, position -1 , N 63.4866858827
date 20110331, 20high 4878.0,20low 4629.0,10high 4848.0 10low 4629.0,Today high 4817.0, low 4767.0, position -1 , N 63.1623515886
date 20110401, 20high 4848.0,20low 4629.0,10high 4847.0 10low 4629.0,Today high 4801.0, low 4757.0, position -1 , N 62.5042340091
date 20110406, 20high 4848.0,20low 4629.0,10high 4832.0 10low 4629.0,Today high 4875.0, low 4782.0, position -1 , N 61.5790223087
date 20110407, 20high 4875.0,20low 4629.0,10high 4875.0 10low 4629.0,Today high 4887.0, low 4854.0, position 0 , N 63.2500711932
date 20110408, 20high 4887.0,20low 4629.0,10high 4887.0 10low 4651.0,Today high 4914.0, low 4865.0, position 1 , N 61.7375676336
date 20110411, 20high 4914.0,20low 4629.0,10high 4914.0 10low 4685.0,Today high 4936.0, low 4893.0, position 1 , N 61.1006892519
date 20110412, 20high 4936.0,20low 4629.0,10high 4936.0 10low 4706.0,Today high 4917.0, low 4878.0, position 1 , N 60.1956547893
date 20110413, 20high 4936.0,20low 4629.0,10high 4936.0 10low 4744.0,Today high 4921.0, low 4860.0, position 1 , N 59.2358720498
date 20110414, 20high 4936.0,20low 4629.0,10high 4936.0 10low 4757.0,Today high 4930.0, low 4901.0, position 1 , N 59.3240784473
date 20110415, 20high 4936.0,20low 4629.0,10high 4936.0 10low 4757.0,Today high 4916.0, low 4819.0, position 1 , N 57.807874525
date 20110418, 20high 4936.0,20low 4629.0,10high 4936.0 10low 4757.0,Today high 4852.0, low 4797.0, position 0 , N 59.7674807987
date 20110419, 20high 4936.0,20low 4629.0,10high 4936.0 10low 4757.0,Today high 4840.0, low 4759.0, position 0 , N 59.5291067588
date 20110420, 20high 4936.0,20low 4629.0,10high 4936.0 10low 4759.0,Today high 4821.0, low 4784.0, position 0 , N 60.8026514209
date 20110421, 20high 4936.0,20low 4629.0,10high 4936.0 10low 4759.0,Today high 4874.0, low 4835.0, position 0 , N 60.0625188498
date 20110422, 20high 4936.0,20low 4651.0,10high 4936.0 10low 4759.0,Today high 4880.0, low 4837.0, position 0 , N 60.0093929073
date 20110425, 20high 4936.0,20low 4685.0,10high 4936.0 10low 4759.0,Today high 4893.0, low 4863.0, position 0 , N 59.158923262
date 20110426, 20high 4936.0,20low 4706.0,10high 4930.0 10low 4759.0,Today high 4906.0, low 4841.0, position 0 , N 57.7009770989
date 20110427, 20high 4936.0,20low 4744.0,10high 4930.0 10low 4759.0,Today high 4922.0, low 4877.0, position 0 , N 58.0659282439
date 20110428, 20high 4936.0,20low 4757.0,10high 4930.0 10low 4759.0,Today high 4933.0, low 4892.0, position 0 , N 57.4126318317
date 20110429, 20high 4936.0,20low 4757.0,10high 4933.0 10low 4759.0,Today high 4917.0, low 4858.0, position 0 , N 56.9420002401
date 20110503, 20high 4936.0,20low 4757.0,10high 4933.0 10low 4759.0,Today high 4965.0, low 4925.0, position 0 , N 57.0449002281
date 20110504, 20high 4965.0,20low 4757.0,10high 4965.0 10low 4759.0,Today high 4959.0, low 4916.0, position 1 , N 56.6926552167
date 20110505, 20high 4965.0,20low 4759.0,10high 4965.0 10low 4784.0,Today high 4936.0, low 4885.0, position 1 , N 56.0080224559
date 20110506, 20high 4965.0,20low 4759.0,10high 4965.0 10low 4835.0,Today high 4859.0, low 4799.0, position 1 , N 56.0076213331
date 20110509, 20high 4965.0,20low 4759.0,10high 4965.0 10low 4799.0,Today high 4830.0, low 4796.0, position 0 , N 58.9572402664
date 20110510, 20high 4965.0,20low 4759.0,10high 4965.0 10low 4796.0,Today high 4853.0, low 4817.0, position 0 , N 57.7093782531
date 20110511, 20high 4965.0,20low 4759.0,10high 4965.0 10low 4796.0,Today high 4867.0, low 4820.0, position 0 , N 56.6239093405
date 20110512, 20high 4965.0,20low 4759.0,10high 4965.0 10low 4796.0,Today high 4811.0, low 4767.0, position 0 , N 56.1427138734
date 20110513, 20high 4965.0,20low 4759.0,10high 4965.0 10low 4767.0,Today high 4853.0, low 4805.0, position 0 , N 56.1355781798
date 20110516, 20high 4965.0,20low 4759.0,10high 4965.0 10low 4767.0,Today high 4858.0, low 4817.0, position 0 , N 56.8287992708
date 20110517, 20high 4965.0,20low 4759.0,10high 4965.0 10low 4767.0,Today high 4834.0, low 4795.0, position 0 , N 56.0373593072
date 20110518, 20high 4965.0,20low 4759.0,10high 4959.0 10low 4767.0,Today high 4847.0, low 4804.0, position 0 , N 55.1854913419
date 20110519, 20high 4965.0,20low 4767.0,10high 4936.0 10low 4767.0,Today high 4848.0, low 4818.0, position 0 , N 54.5762167748
date 20110520, 20high 4965.0,20low 4767.0,10high 4867.0 10low 4767.0,Today high 4836.0, low 4811.0, position 0 , N 53.497405936
date 20110523, 20high 4965.0,20low 4767.0,10high 4867.0 10low 4767.0,Today high 4838.0, low 4778.0, position 0 , N 52.0725356392
date 20110524, 20high 4965.0,20low 4767.0,10high 4867.0 10low 4767.0,Today high 4812.0, low 4775.0, position 0 , N 52.4689088573
