策略Turtle发送委托，2011-02-01 00:00:00,，多，1@5063.0
策略Turtle发送委托，2011-02-18 00:00:00,，空，1@4968.0
策略Turtle发送委托，2011-02-23 00:00:00,，空，1@4931.0
策略Turtle发送委托，2011-02-24 00:00:00,，空，1@4905.5
策略Turtle发送委托，2011-02-24 00:00:00,，空，1@4880.0
策略Turtle发送委托，2011-03-01 00:00:00,，空，1@4854.5
策略Turtle发送委托，2011-04-06 00:00:00,，多，4@4832.0
策略Turtle发送委托，2011-04-06 00:00:00,，多，1@4848.0
策略Turtle发送委托，2011-04-07 00:00:00,，多，1@4881.5
策略Turtle发送委托，2011-04-11 00:00:00,，多，1@4922.0
策略Turtle发送委托，2011-04-19 00:00:00,，空，3@4792.0
策略Turtle发送委托，2011-05-03 00:00:00,，多，1@4936.0
策略Turtle发送委托，2011-05-06 00:00:00,，空，1@4835.0
策略Turtle发送委托，2011-06-16 00:00:00,，空，1@4775.0
策略Turtle发送委托，2011-06-17 00:00:00,，空，1@4755.5
策略Turtle发送委托，2011-06-17 00:00:00,，空，1@4737.5
策略Turtle发送委托，2011-06-20 00:00:00,，空，1@4718.0
策略Turtle发送委托，2011-07-04 00:00:00,，多，4@4754.0
策略Turtle发送委托，2011-07-11 00:00:00,，多，1@4840.0
策略Turtle发送委托，2011-07-12 00:00:00,，多，1@4858.0
策略Turtle发送委托，2011-07-12 00:00:00,，多，1@4876.0
策略Turtle发送委托，2011-07-13 00:00:00,，多，1@4894.0
策略Turtle发送委托，2011-08-05 00:00:00,，空，4@4869.0
策略Turtle发送委托，2011-08-09 00:00:00,，空，1@4763.0
策略Turtle发送委托，2011-08-10 00:00:00,，多，1@4837.0
策略Turtle发送委托，2011-09-13 00:00:00,，空，1@4780.0
策略Turtle发送委托，2011-09-14 00:00:00,，空，1@4760.0
策略Turtle发送委托，2011-09-16 00:00:00,，空，1@4740.0
策略Turtle发送委托，2011-09-19 00:00:00,，空，1@4714.0
策略Turtle发送委托，2011-11-09 00:00:00,，多，4@4172.0
策略Turtle发送委托，2011-12-01 00:00:00,，多，1@4239.0
策略Turtle发送委托，2011-12-15 00:00:00,，空，1@4112.0
策略Turtle发送委托，2012-01-17 00:00:00,，多，1@4248.0
策略Turtle发送委托，2012-01-18 00:00:00,，多，1@4294.0
策略Turtle发送委托，2012-01-18 00:00:00,，多，1@4311.5
策略Turtle发送委托，2012-01-20 00:00:00,，多，1@4329.0
策略Turtle发送委托，2012-02-13 00:00:00,，空，4@4263.0
策略Turtle发送委托，2012-02-15 00:00:00,，空，1@4204.0
策略Turtle发送委托，2012-02-16 00:00:00,，空，1@4182.0
策略Turtle发送委托，2012-02-16 00:00:00,，空，1@4162.5
策略Turtle发送委托，2012-02-22 00:00:00,，多，3@4240.5
策略Turtle发送委托，2012-03-09 00:00:00,，多，1@4315.0
策略Turtle发送委托，2012-03-13 00:00:00,，多，1@4333.5
策略Turtle发送委托，2012-03-21 00:00:00,，多，1@4350.0
策略Turtle发送委托，2012-03-27 00:00:00,，多，1@4365.0
策略Turtle发送委托，2012-04-05 00:00:00,，空，4@4306.0
策略Turtle发送委托，2012-04-06 00:00:00,，多，1@4367.0
策略Turtle发送委托，2012-04-09 00:00:00,，多，1@4382.0
策略Turtle发送委托，2012-04-09 00:00:00,，多，1@4397.0
策略Turtle发送委托，2012-04-16 00:00:00,，空，3@4337.0
策略Turtle发送委托，2012-04-23 00:00:00,，空，1@4291.0
策略Turtle发送委托，2012-04-24 00:00:00,，空，1@4277.0
策略Turtle发送委托，2012-04-24 00:00:00,，空，1@4263.0
策略Turtle发送委托，2012-05-02 00:00:00,，空，1@4249.0
策略Turtle发送委托，2012-05-31 00:00:00,，多，4@4118.0
策略Turtle发送委托，2012-06-20 00:00:00,，多，1@4138.0
策略Turtle发送委托，2012-06-26 00:00:00,，空，1@4079.0
策略Turtle发送委托，2012-07-02 00:00:00,，空，1@4020.0
策略Turtle发送委托，2012-07-04 00:00:00,，多，1@4090.0
策略Turtle发送委托，2012-07-10 00:00:00,，空，1@4018.0
